run_key,regime_label_exogenous,fold_id,seed,feature_set,feature_family,is_negative_control,selection_rule,selected_model_type,n_days,mean_daily_return,daily_volatility,volatility,sharpe,max_drawdown,turnover,hit_rate,excess_return_vs_benchmark,insufficient_days_for_sharpe
base_macro_hmm__fold_02__seed123,bull_high_vol,fold_02,123,base_macro_hmm,negative_control_hmm,True,checkpoint_robust_score,best_model,1,-0.0039279378419270206,0.0,0.0,,0.0,,0.0,-0.0007731853285372517,True
base_macro_hmm__fold_02__seed123,unknown,fold_02,123,base_macro_hmm,negative_control_hmm,True,checkpoint_robust_score,best_model,59,2.4678386328190917e-05,0.005452809454968901,0.0865606665868162,0.0718450261524592,-0.027633049587784342,20.28813559322034,0.4745762711864407,-0.00046469257745600576,False
base_macro_hmm__fold_02__seed42,bear_high_vol,fold_02,42,base_macro_hmm,negative_control_hmm,True,checkpoint_robust_score,checkpoint,4,0.0030065566284743495,0.0067058175522227825,0.10645155348332022,,-0.008354678146028083,0.0,0.75,0.0001698452096865694,True
base_macro_hmm__fold_02__seed42,bull_high_vol,fold_02,42,base_macro_hmm,negative_control_hmm,True,checkpoint_robust_score,checkpoint,1,-0.006730675031599187,0.0,0.0,,0.0,,0.0,-0.003575922518209418,True
base_macro_hmm__fold_02__seed42,unknown,fold_02,42,base_macro_hmm,negative_control_hmm,True,checkpoint_robust_score,checkpoint,59,-0.00023347746951068345,0.005370217431263476,0.08524955885680356,-0.6901657100128987,-0.04169294319112671,9.322033898305085,0.4576271186440678,-0.0007228484332948802,False
base_macro_hmm__fold_02__seed999,bear_high_vol,fold_02,999,base_macro_hmm,negative_control_hmm,True,checkpoint_robust_score,checkpoint,4,-0.0003976941740322093,0.007878073393744568,0.12506053806097656,,-0.013578790850039768,0.0,0.5,-0.0032344055928199894,True
base_macro_hmm__fold_02__seed999,bull_high_vol,fold_02,999,base_macro_hmm,negative_control_hmm,True,checkpoint_robust_score,checkpoint,1,-0.004077149237497579,0.0,0.0,,0.0,,0.0,-0.0009223967241078104,True
base_macro_hmm__fold_02__seed999,unknown,fold_02,999,base_macro_hmm,negative_control_hmm,True,checkpoint_robust_score,checkpoint,59,-2.02642854129584e-05,0.005240813790876193,0.08319533974953645,-0.06138084103555776,-0.030119117132262452,18.28813559322034,0.4576271186440678,-0.0005096352491971555,False
base_macro_hmm__fold_03__seed123,bear_low_vol,fold_03,123,base_macro_hmm,negative_control_hmm,True,checkpoint_robust_score,last_model,3,0.0005469451855354412,0.0035670711583678577,0.05662549916347469,,-0.003715882137517501,0.0,0.3333333333333333,0.0003358156876022309,True
base_macro_hmm__fold_03__seed123,unknown,fold_03,123,base_macro_hmm,negative_control_hmm,True,checkpoint_robust_score,last_model,59,0.0006444713040861843,0.004944422294087052,0.07849027060222685,2.069132484620467,-0.036722583713818535,13.305084745762711,0.4745762711864407,-0.0003697361293295662,False
